id,tier,tierLabel,name,prototype,excluded,status,size,filePath,imageUrl,note
1,1,Ⅰ阶,隐现,,false,ok,28880,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\001_Ⅰ阶_隐现.png,https://media.prts.wiki/8/85/%E5%A4%B4%E5%83%8F_%E9%9A%90%E7%8E%B0.png?v=lpkhj45rbw2pqttsp855b6c3s6on0r2,
2,1,Ⅰ阶,角峰,,false,ok,30371,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\002_Ⅰ阶_角峰.png,https://media.prts.wiki/e/e4/%E5%A4%B4%E5%83%8F_%E8%A7%92%E5%B3%B0.png?v=g4ge910dynpmpo1su4esxvrp7n6u5gy,
3,1,Ⅰ阶,惊蛰,,false,ok,47566,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\003_Ⅰ阶_惊蛰.png,https://media.prts.wiki/8/81/%E5%A4%B4%E5%83%8F_%E6%83%8A%E8%9B%B0.png?v=rd5f555ccej2xxx5sulaarn73mp90ij,
4,1,Ⅰ阶,深巡,,false,ok,51292,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\004_Ⅰ阶_深巡.png,https://media.prts.wiki/b/bd/%E5%A4%B4%E5%83%8F_%E6%B7%B1%E5%B7%A1.png?v=ny3ttxedafpa4566kioro7zyipxmped,
5,1,Ⅰ阶,刺玫,,false,ok,57871,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\005_Ⅰ阶_刺玫.png,https://media.prts.wiki/c/c6/%E5%A4%B4%E5%83%8F_%E5%88%BA%E7%8E%AB.png?v=akposrhtjm3rqnn76m2osqqf2ku5a2u,
6,1,Ⅰ阶,普罗旺斯,,false,ok,30971,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\006_Ⅰ阶_普罗旺斯.png,https://media.prts.wiki/7/72/%E5%A4%B4%E5%83%8F_%E6%99%AE%E7%BD%97%E6%97%BA%E6%96%AF.png?v=byliat0gpdc9tlz9vw124euwnqi87gl,
7,1,Ⅰ阶,德克萨斯,,false,ok,28778,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\007_Ⅰ阶_德克萨斯.png,https://media.prts.wiki/5/57/%E5%A4%B4%E5%83%8F_%E5%BE%B7%E5%85%8B%E8%90%A8%E6%96%AF.png?v=328qz9ljzcwjdztnfykw3s1suc6j9e6,
8,1,Ⅰ阶,跃跃,,false,ok,55691,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\008_Ⅰ阶_跃跃.png,https://media.prts.wiki/a/aa/%E5%A4%B4%E5%83%8F_%E8%B7%83%E8%B7%83.png?v=o2urq14800tpmvv0ajghkjb61x3878g,
9,1,Ⅰ阶,古米,,false,ok,32520,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\009_Ⅰ阶_古米.png,https://media.prts.wiki/0/07/%E5%A4%B4%E5%83%8F_%E5%8F%A4%E7%B1%B3.png?v=ot5114sbggsrxuaxsqdpqhv7d48u761,
10,1,Ⅰ阶,艾丝黛尔,,false,ok,51865,D:\大黄算法？？？\卫戍协议干员头像包\01_I阶\010_Ⅰ阶_艾丝黛尔.png,https://media.prts.wiki/5/57/%E5%A4%B4%E5%83%8F_%E8%89%BE%E4%B8%9D%E9%BB%9B%E5%B0%94.png?v=2owu4uzy2k3q2saej9jnq9a4sj5p4q1,
